date,lewis_word_count,season
1804-12-07,0,winter
1804-12-08,0,winter
1804-12-09,0,winter
1804-12-10,0,winter
1804-12-11,0,winter
1804-12-12,0,winter
1804-12-13,0,winter
1804-12-14,0,winter
1804-12-15,0,winter
1804-12-16,0,winter
1804-12-17,0,winter
1804-12-18,0,winter
1804-12-19,0,winter
1804-12-20,0,winter
1804-12-21,0,winter
1804-12-22,16,winter
1804-12-23,0,winter
1804-12-24,0,winter
1804-12-25,0,winter
1804-12-26,0,winter
1804-12-27,0,winter
1804-12-28,0,winter
1804-12-29,0,winter
1804-12-30,0,winter
1804-12-31,0,winter
1805-01-01,0,winter
1805-01-02,0,winter
1805-01-03,0,winter
1805-01-04,0,winter
1805-01-05,0,winter
1805-01-06,0,winter
1805-01-07,74,winter
1805-01-08,0,winter
1805-01-09,0,winter
1805-01-10,0,winter
1805-01-11,0,winter
1805-01-12,0,winter
1805-01-13,28,winter
1805-01-14,174,winter
1805-01-15,138,winter
1805-01-16,0,winter
1805-01-17,0,winter
1805-01-18,0,winter
1805-01-19,0,winter
1805-01-20,56,winter
1805-01-21,0,winter
1805-01-22,0,winter
1805-01-23,0,winter
1805-01-24,0,winter
1805-01-25,0,winter
1805-01-26,29,winter
1805-01-27,0,winter
1805-01-28,114,winter
1805-01-29,0,winter
1805-01-30,0,winter
1805-01-31,0,winter
1805-02-01,0,winter
1805-02-02,0,winter
1805-02-03,0,winter
1805-02-04,246,winter
1805-02-05,257,winter
1805-02-06,222,winter
1805-02-07,115,winter
1805-02-08,174,winter
1805-02-09,146,winter
1805-02-10,167,winter
1805-02-11,199,winter
1805-02-12,422,winter
1805-02-13,26,winter
1805-02-14,0,winter
1805-02-15,0,winter
1805-02-16,0,winter
1805-02-17,0,winter
1805-02-18,0,winter
1805-02-19,0,winter
1805-02-20,0,winter
1805-02-21,0,winter
1805-02-22,0,winter
1805-02-23,126,winter
1805-02-24,0,winter
1805-02-25,0,winter
1805-02-26,0,winter
1805-02-27,0,winter
1805-02-28,0,winter
1805-03-01,0,spring
1805-03-02,0,spring
1805-03-03,0,spring
1805-03-04,0,spring
1805-03-05,0,spring
1805-03-06,0,spring
1805-03-07,0,spring
1805-03-08,0,spring
1805-03-09,0,spring
1805-03-10,0,spring
1805-03-11,0,spring
1805-03-12,0,spring
1805-03-13,0,spring
1805-03-14,0,spring
1805-03-15,0,spring
1805-03-16,794,spring
1805-03-17,0,spring
1805-03-18,0,spring
1805-03-19,0,spring
1805-03-20,0,spring
1805-03-21,0,spring
1805-03-22,0,spring
1805-03-23,0,spring
1805-03-24,0,spring
1805-03-25,75,spring
1805-03-26,0,spring
1805-03-27,0,spring
1805-03-28,28,spring
1805-03-29,0,spring
1805-03-30,30,spring
1805-03-31,0,spring
1805-04-01,0,spring
1805-04-02,0,spring
1805-04-03,0,spring
1805-04-04,0,spring
1805-04-05,0,spring
1805-04-06,0,spring
1805-04-07,902,spring
1805-04-08,274,spring
1805-04-09,952,spring
1805-04-10,510,spring
1805-04-11,466,spring
1805-04-12,1117,spring
1805-04-13,1341,spring
1805-04-14,1445,spring
1805-04-15,761,spring
1805-04-16,504,spring
1805-04-17,577,spring
1805-04-18,487,spring
1805-04-19,115,spring
1805-04-20,637,spring
1805-04-21,423,spring
1805-04-22,801,spring
1805-04-23,261,spring
1805-04-24,242,spring
1805-04-25,696,spring
1805-04-26,1348,spring
1805-04-27,929,spring
1805-04-28,420,spring
1805-04-29,929,spring
1805-04-30,413,spring
1805-05-01,817,spring
1805-05-02,523,spring
1805-05-03,1088,spring
1805-05-04,786,spring
1805-05-05,1484,spring
1805-05-06,849,spring
1805-05-07,572,spring
1805-05-08,1482,spring
1805-05-09,1568,spring
1805-05-10,1084,spring
1805-05-11,1461,spring
1805-05-12,867,spring
1805-05-13,284,spring
1805-05-14,1362,spring
1805-05-15,77,spring
1805-05-16,379,spring
1805-05-17,924,spring
1805-05-18,434,spring
1805-05-19,601,spring
1805-05-20,1090,spring
1805-05-21,646,spring
1805-05-22,554,spring
1805-05-23,862,spring
1805-05-24,1148,spring
1805-05-25,1316,spring
1805-05-26,1219,spring
1805-05-27,540,spring
1805-05-28,788,spring
1805-05-29,1477,spring
1805-05-30,736,spring
1805-05-31,1586,spring
1805-06-01,622,summer
1805-06-02,735,summer
1805-06-03,1934,summer
1805-06-04,1137,summer
1805-06-05,651,summer
1805-06-06,506,summer
1805-06-07,708,summer
1805-06-08,926,summer
1805-06-09,1721,summer
1805-06-10,753,summer
1805-06-11,566,summer
1805-06-12,742,summer
1805-06-13,2052,summer
1805-06-14,2632,summer
1805-06-15,385,summer
1805-06-16,868,summer
1805-06-17,651,summer
1805-06-18,562,summer
1805-06-19,395,summer
1805-06-20,486,summer
1805-06-21,528,summer
1805-06-22,378,summer
1805-06-23,677,summer
1805-06-24,391,summer
1805-06-25,533,summer
1805-06-26,699,summer
1805-06-27,567,summer
1805-06-28,481,summer
1805-06-29,1324,summer
1805-06-30,725,summer
1805-07-01,316,summer
1805-07-02,675,summer
1805-07-03,410,summer
1805-07-04,875,summer
1805-07-05,455,summer
1805-07-06,197,summer
1805-07-07,308,summer
1805-07-08,616,summer
1805-07-09,876,summer
1805-07-10,639,summer
1805-07-11,482,summer
1805-07-12,398,summer
1805-07-13,663,summer
1805-07-14,363,summer
1805-07-15,1087,summer
1805-07-16,593,summer
1805-07-17,1577,summer
1805-07-18,1273,summer
1805-07-19,1045,summer
1805-07-20,1050,summer
1805-07-21,1119,summer
1805-07-22,1032,summer
1805-07-23,817,summer
1805-07-24,1050,summer
1805-07-25,931,summer
1805-07-26,1081,summer
1805-07-27,1975,summer
1805-07-28,868,summer
1805-07-29,673,summer
1805-07-30,1009,summer
1805-07-31,1077,summer
1805-08-01,500,summer
1805-08-02,433,summer
1805-08-03,166,summer
1805-08-04,452,summer
1805-08-05,0,summer
1805-08-06,1006,summer
1805-08-07,497,summer
1805-08-08,775,summer
1805-08-09,628,summer
1805-08-10,1437,summer
1805-08-11,1738,summer
1805-08-12,1094,summer
1805-08-13,2993,summer
1805-08-14,2861,summer
1805-08-15,1540,summer
1805-08-16,2200,summer
1805-08-17,1630,summer
1805-08-18,590,summer
1805-08-19,2220,summer
1805-08-20,2001,summer
1805-08-21,1972,summer
1805-08-22,1830,summer
1805-08-23,3145,summer
1805-08-24,2223,summer
1805-08-25,1657,summer
1805-08-26,1374,summer
1805-08-27,0,summer
1805-08-28,0,summer
1805-08-29,0,summer
1805-08-30,0,summer
1805-08-31,0,summer
1805-09-01,0,fall
1805-09-02,0,fall
1805-09-03,0,fall
1805-09-04,0,fall
1805-09-05,0,fall
1805-09-06,0,fall
1805-09-07,0,fall
1805-09-08,0,fall
1805-09-09,652,fall
1805-09-10,471,fall
1805-09-11,0,fall
1805-09-12,0,fall
1805-09-13,0,fall
1805-09-14,0,fall
1805-09-15,0,fall
1805-09-16,0,fall
1805-09-17,0,fall
1805-09-18,328,fall
1805-09-19,408,fall
1805-09-20,715,fall
1805-09-21,332,fall
1805-09-22,315,fall
1805-09-23,0,fall
1805-09-24,0,fall
1805-09-25,0,fall
1805-09-26,0,fall
1805-09-27,0,fall
1805-09-28,0,fall
1805-09-29,0,fall
1805-09-30,0,fall
1805-10-01,0,fall
1805-10-02,0,fall
1805-10-03,0,fall
1805-10-04,0,fall
1805-10-05,0,fall
1805-10-06,0,fall
1805-10-07,0,fall
1805-10-08,0,fall
1805-10-09,0,fall
1805-10-10,0,fall
1805-10-11,0,fall
1805-10-12,0,fall
1805-10-13,0,fall
1805-10-14,0,fall
1805-10-15,0,fall
1805-10-16,0,fall
1805-10-17,0,fall
1805-10-18,0,fall
1805-10-19,0,fall
1805-10-20,0,fall
1805-10-21,0,fall
1805-10-22,0,fall
1805-10-23,0,fall
1805-10-24,0,fall
1805-10-25,0,fall
1805-10-26,0,fall
1805-10-27,0,fall
1805-10-28,0,fall
1805-10-29,0,fall
1805-10-30,0,fall
1805-10-31,0,fall
1805-11-01,0,fall
1805-11-02,0,fall
1805-11-03,0,fall
1805-11-04,0,fall
1805-11-05,0,fall
1805-11-06,0,fall
1805-11-07,0,fall
1805-11-08,0,fall
1805-11-09,0,fall
1805-11-10,0,fall
1805-11-11,0,fall
1805-11-12,0,fall
1805-11-13,0,fall
1805-11-14,0,fall
1805-11-15,0,fall
1805-11-16,0,fall
1805-11-17,0,fall
1805-11-18,0,fall
1805-11-19,0,fall
1805-11-20,0,fall
1805-11-21,0,fall
1805-11-22,0,fall
1805-11-23,0,fall
1805-11-24,0,fall
1805-11-25,0,fall
1805-11-26,0,fall
1805-11-27,0,fall
1805-11-28,0,fall
1805-11-29,181,fall
1805-11-30,535,fall
1805-12-01,428,winter
1805-12-02,0,winter
1805-12-03,0,winter
1805-12-04,0,winter
1805-12-05,0,winter
1805-12-06,0,winter
1805-12-07,0,winter
1805-12-08,0,winter
1805-12-09,0,winter
1805-12-10,0,winter
1805-12-11,0,winter
1805-12-12,0,winter
1805-12-13,0,winter
1805-12-14,0,winter
1805-12-15,0,winter
1805-12-16,0,winter
1805-12-17,0,winter
1805-12-18,447,winter
1805-12-19,0,winter
1805-12-20,0,winter
1805-12-21,0,winter
1805-12-22,0,winter
1805-12-23,0,winter
1805-12-24,0,winter
1805-12-25,0,winter
1805-12-26,0,winter
1805-12-27,0,winter
1805-12-28,0,winter
1805-12-29,0,winter
1805-12-30,0,winter
1805-12-31,0,winter
1806-01-01,293,winter
1806-01-02,209,winter
1806-01-03,355,winter
1806-01-04,296,winter
1806-01-05,453,winter
1806-01-06,733,winter
1806-01-07,613,winter
1806-01-08,326,winter
1806-01-09,796,winter
1806-01-10,1086,winter
1806-01-11,266,winter
1806-01-12,191,winter
1806-01-13,403,winter
1806-01-14,404,winter
